,Age,Density Corner Left Eye,Density Corner Right Eye,Density Forehead,Density Cheek Left,Density Cheek Right,Depth Corner Left Eye,Depth Corner Right Eye,Depth Forehead,Depth Cheek Left,Depth Cheek Right,Variance Corner Left Eye,Variance Corner Right Eye,Variance Forehead,Variance Cheek Left,Variance Cheek Right,Spot Density Corner Left Eye,Spot Density Corner Right Eye,Spot Density Forehead,Spot Density Cheek Left,Spot Density Cheek Right,Max Spot Size Corner Left Eye,Max Spot Size Corner Right Eye,Max Spot Size Forehead,Max Spot Size Cheek Left,Max Spot Size Cheek Right,Count of Spots Corner Left Eye,Count of Spots Corner Right Eye,Count of Spots Forehead,Count of Spots Cheek Left,Count of Spots Cheek Right,Path
0,40,0.7904761904761904,0.6102564102564103,0.26063348416289595,0.4057239057239057,0.2905349794238683,0.36744605552894943,0.3155479078956439,0.21405185969918775,0.26167195137771465,0.2604348884677321,0.31330104658210084,0.22890384683132167,0.1196834653285023,0.15927977402291316,0.13617974613449932,0.0,0.0,0.006636500754147813,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0,0,1,0,0,../datasets/spots/10007_1959-10-10_1999.jpg
1,53,0.29043478260869565,0.4531024531024531,0.23846153846153847,0.1700404858299595,0.45626975763962063,0.30863754138100624,0.30651309452279984,0.22574457625596556,0.21034895900776718,0.30515436359311515,0.15088498677404752,0.18469932451992344,0.11935270297281012,0.1001989456693267,0.18686891356999819,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.000324,0.0,0.0,0,0,1,0,0,../datasets/spots/10008_1959-10-10_2012.jpg
2,67,0.625,0.29017857142857145,0.15513513513513513,0.398840885142255,0.35615536537195525,0.35975626765586166,0.28305452934882347,0.23039253655036163,0.3432205086445583,0.24704598395600633,0.26141203500186566,0.13478666643920523,0.09549078875257407,0.18844119636887352,0.1421464497778294,0.0,0.0,0.0037837837837837837,0.0,0.0,0.0,0.0,0.000196,0.0,0.0,0,0,1,0,0,../datasets/spots/10016_1948-2-5_2015.jpg
3,70,0.5909090909090909,0.5042735042735043,0.13245257452574527,0.32872340425531915,0.3484848484848485,0.3130144129335142,0.2769830449135372,0.20671644578984044,0.26194365506494116,0.2649885585953118,0.22441294148843374,0.1868784386242305,0.09821718248986692,0.14324404036537924,0.15193197732196745,0.0,0.0,0.01084010840108401,0.0,0.0,0.0,0.0,0.0004513217279174726,0.0,0.0,0,0,1,0,0,../datasets/spots/10017_1939-9-18_2009.jpg
4,18,0.7894736842105263,0.40576923076923077,0.09774193548387097,0.3371164354770912,0.1087962962962963,0.2914940527080465,0.23582299988167135,0.2086095406815861,0.2954885383082151,0.2251411009888302,0.2518929632967064,0.15074135529181754,0.08817349667680661,0.14848316522725863,0.08412239630163922,0.0,0.0,0.0067741935483870966,0.0,0.021604938271604937,0.0,0.0,0.0004392412779231955,0.0,0.0005737028936139696,0,0,1,0,1,../datasets/spots/10041_1980-9-9_1998.jpg
5,53,0.37777777777777777,0.39473684210526316,0.27483209614704845,0.44148041336217253,0.47373788883222845,0.2100688852100903,0.34130865595753546,0.22491432939411388,0.26571537312430754,0.2523932707273613,0.13950449429228692,0.18838841442037468,0.12532582130889444,0.1692263327253171,0.168970793474612,0.0,0.0,0.003711558854718982,0.0,0.0,0.0,0.0,0.000196,0.0,0.0,0,0,1,0,0,../datasets/spots/10057_1957-3-4_2010.jpg
6,38,0.6033653846153846,0.35,0.32279592553565156,0.47685185185185186,0.5630434782608695,0.30278206317293316,0.2193345096220351,0.23496023763152835,0.29971507566846833,0.32487267476551884,0.2202812521733447,0.13862174921915474,0.13488430814133662,0.19264876033545558,0.22433338187660684,0.0,0.0,0.017211099402880226,0.0,0.0,0.0,0.0,0.0006181130002136687,0.0,0.0,0,0,2,0,0,../datasets/spots/10058_1964-0-0_2002.jpg
7,54,0.29050066312997347,0.588042588042588,0.11411785650703223,0.39134615384615384,0.1896551724137931,0.4067852003986032,0.3397734178401458,0.2486329990177783,0.3046479486193034,0.23110090915335152,0.37432212812835763,0.2397022923939465,0.08574587403149043,0.17108853747604483,0.10740498042504776,0.0,0.0,0.011928075485134413,0.0,0.0,0.0,0.0,0.000196,0.0,0.0,0,0,3,0,0,../datasets/spots/10060_1961-10-30_2015.jpg
8,36,0.10130718954248366,0.4336842105263158,0.47085523172479693,0.3552009456264775,0.34527439024390244,0.2455800982135454,0.29285861811998115,0.4006513379029706,0.25830001941501624,0.24952321815376274,0.09523130608294493,0.1728553674863616,0.2369616997199841,0.14707996240940924,0.14554982066919148,0.0,0.0,0.005016722408026756,0.0,0.01676829268292683,0.0,0.0,0.00031325917401866767,0.0,0.00031325917401866767,0,0,1,0,1,../datasets/spots/10062_1969-8-27_2005.jpg
9,40,0.36705882352941177,0.2224025974025974,0.12186732186732187,0.1391941391941392,0.26658163265306123,0.3240737835410452,0.24038427879377622,0.22314744986432442,0.21187807319784047,0.2912808002838039,0.17401766720772605,0.1141878699281712,0.09352432230817051,0.0988424904568759,0.13913415055171935,0.0,0.0,0.005569205569205569,0.0,0.0,0.0,0.0,0.000256,0.0,0.0,0,0,1,0,0,../datasets/spots/10064_1973-7-3_2013.jpg
10,41,0.12566137566137567,0.6486175115207373,0.5393393393393393,0.20834602497715504,0.6649572649572649,0.2393766566783844,0.2688202391169547,0.2871560509027461,0.22844338610207438,0.27748905925753,0.0952195565276459,0.20951507437751155,0.19558659390115055,0.10995223737037182,0.2181133788927655,0.0,0.0,0.0036036036036036037,0.0,0.0,0.0,0.0,0.000144,0.0,0.0,0,0,1,0,0,../datasets/spots/10065_1973-7-3_2014.jpg
