,user_id,rm_id,rating
0,1,12,4
1,1,13,1
2,1,15,2
3,1,18,1
4,1,23,3
5,1,25,4
6,1,26,3
7,1,27,3
8,1,30,1
9,1,32,2
10,2,14,2
11,2,16,1
12,2,17,4
13,2,18,1
14,2,19,1
15,2,20,4
16,2,24,5
17,2,25,5
18,2,26,5
19,2,27,4
20,2,28,3
21,2,32,3
22,3,12,4
23,3,21,2
24,3,23,2
25,3,26,1
26,3,29,5
27,3,32,4
28,4,12,1
29,4,13,4
30,4,14,5
31,4,15,5
32,4,17,2
33,4,18,3
34,4,19,3
35,4,21,4
36,4,22,4
37,4,25,3
38,4,27,1
39,4,29,4
40,4,31,5
41,4,32,5
42,5,12,3
43,5,16,3
44,5,17,1
45,5,18,4
46,5,23,2
47,5,24,3
48,5,25,1
49,5,28,5
50,5,30,5
51,5,31,1
52,5,32,2
53,6,12,3
54,6,13,4
55,6,15,2
56,6,16,3
57,6,23,1
58,6,25,5
59,6,26,3
60,6,27,2
61,6,29,5
62,6,30,2
63,6,31,2
64,7,16,2
65,7,18,1
66,7,20,1
67,7,21,3
68,7,23,2
69,7,24,5
70,7,26,2
71,7,27,4
72,7,29,5
73,7,31,3
74,8,12,5
75,8,13,4
76,8,15,4
77,8,22,1
78,8,23,3
79,8,26,5
80,8,28,4
81,8,29,3
82,8,30,2
83,8,31,4
84,8,32,2
85,9,13,1
86,9,14,4
87,9,16,5
88,9,18,2
89,9,19,5
90,9,20,4
91,9,21,3
92,9,24,1
93,9,26,5
94,9,27,2
95,9,29,2
96,9,31,5
97,9,32,4
98,10,12,1
99,10,13,2
100,10,15,4
101,10,16,5
102,10,18,2
103,10,21,1
104,10,23,3
105,10,25,4
106,10,29,1
107,10,30,5
108,11,12,2
109,11,13,3
110,11,14,4
111,11,15,5
112,11,16,5
113,11,19,1
114,11,20,5
115,11,22,1
116,11,23,3
117,11,25,3
118,11,26,2
119,11,27,3
120,11,28,4
121,11,31,2
122,11,32,2
123,12,12,5
124,12,15,1
125,12,19,4
126,12,20,4
127,12,22,1
128,12,23,5
129,12,26,5
130,12,27,3
131,12,28,5
132,12,29,4
133,12,30,4
134,12,32,4
135,13,12,2
136,13,15,5
137,13,16,5
138,13,17,2
139,13,20,1
140,13,22,3
141,13,25,5
142,13,29,2
143,13,32,3
144,14,12,4
145,14,18,2
146,14,20,5
147,14,22,2
148,14,23,4
149,14,25,2
150,14,28,2
151,14,29,4
152,14,32,2
153,15,12,3
154,15,13,4
155,15,14,4
156,15,18,3
157,15,19,3
158,15,21,1
159,15,22,3
160,15,23,2
161,15,25,4
162,15,26,2
163,15,28,1
164,15,31,5
165,15,32,1
166,16,13,4
167,16,14,4
168,16,15,3
169,16,16,1
170,16,18,4
171,16,20,3
172,16,21,3
173,16,22,2
174,16,25,3
175,16,30,5
176,16,31,1
177,16,32,4
178,17,12,1
179,17,14,2
180,17,17,4
181,17,18,1
182,17,19,1
183,17,20,5
184,17,21,4
185,17,23,4
186,17,24,5
187,17,25,5
188,17,29,2
189,17,31,4
190,18,13,1
191,18,14,5
192,18,15,5
193,18,16,1
