,user_id,rm_id,rating
0,1,151,2
1,1,153,4
2,1,154,2
3,1,155,5
4,2,151,1
5,2,153,3
6,2,155,2
7,2,156,3
8,3,151,3
9,3,152,5
10,3,156,4
11,3,157,3
12,4,153,3
13,4,157,1
14,5,154,5
15,5,155,5
16,5,156,5
17,5,157,4
18,6,151,2
19,6,154,1
20,6,156,3
21,7,151,1
22,7,152,2
23,7,156,5
24,7,157,2
25,8,153,2
26,8,154,2
27,9,152,5
28,9,156,4
29,9,157,1
30,10,151,1
31,10,152,2
32,10,155,2
33,10,157,3
34,11,152,3
35,11,155,3
36,12,152,3
37,12,154,2
38,12,156,5
39,12,157,3
40,13,153,1
41,13,154,2
42,13,155,4
43,13,157,4
44,14,153,2
45,14,154,5
46,14,155,1
47,15,153,5
48,15,154,1
49,15,157,5
50,16,154,1
51,16,155,2
52,16,157,2
53,17,151,4
54,17,155,3
55,17,156,2
56,18,151,5
57,18,152,5
58,18,153,2
59,18,156,5
60,18,157,5
61,19,151,2
62,19,152,2
63,19,154,5
64,19,155,3
65,19,156,2
66,19,157,2
67,20,151,4
68,20,152,3
69,20,153,5
70,21,151,4
71,21,152,3
72,21,154,3
73,21,155,5
74,21,156,1
75,22,155,5
76,22,156,1
77,22,157,5
78,23,152,2
79,23,153,3
80,23,154,4
81,24,151,3
82,24,153,2
83,24,156,2
84,25,152,1
85,25,155,2
86,26,151,5
87,26,152,3
88,26,154,4
89,27,152,2
90,27,153,4
91,27,157,4
92,28,152,5
93,28,154,4
94,28,156,4
95,28,157,1
96,29,151,2
97,29,153,2
98,29,154,3
99,29,155,3
100,29,157,1
101,30,156,1
102,30,157,1
103,31,152,3
104,31,156,5
105,31,157,2
106,32,154,3
107,33,151,1
108,33,155,2
109,33,156,1
110,33,157,3
111,34,151,5
112,34,153,3
113,34,155,4
114,35,152,1
115,35,154,5
116,35,155,4
117,35,156,5
118,36,151,4
119,36,152,4
120,36,153,1
121,36,154,5
122,36,155,5
123,37,155,3
124,37,156,4
125,38,151,1
126,38,152,3
127,38,153,2
128,38,154,2
129,38,156,5
130,38,157,2
131,39,155,5
132,39,157,5
133,40,152,5
134,40,153,5
135,40,154,4
136,40,155,1
137,40,157,5
138,41,151,2
139,41,152,1
140,42,151,5
141,42,152,5
142,42,153,5
143,42,154,4
144,42,155,1
145,42,157,1
146,43,151,5
147,43,152,2
148,43,154,1
149,43,155,1
150,44,151,4
151,44,152,5
152,44,154,2
153,44,155,4
154,44,157,5
155,45,151,1
156,45,152,5
157,45,153,3
158,45,155,5
159,45,156,5
160,45,157,1
161,46,151,1
162,46,152,4
163,46,153,3
164,46,154,3
165,46,155,2
166,46,156,4
167,46,157,3
168,47,151,1
169,47,154,4
170,47,156,4
171,47,157,3
172,48,151,5
173,48,152,5
174,48,156,5
175,48,157,1
176,49,152,5
177,49,153,4
178,49,155,3
179,49,156,5
180,49,157,3
181,50,154,3
182,50,156,1
183,51,152,1
184,51,153,3
185,51,154,2
186,52,153,4
187,52,156,5
188,52,157,1
189,53,151,3
190,53,152,2
191,53,153,3
192,53,154,4
193,53,155,5
194,53,157,1
195,54,151,1
196,54,152,5
197,54,153,5
198,54,154,4
199,54,156,3
200,54,157,2
201,55,151,1
202,55,152,3
203,55,153,2
204,55,154,2
205,55,155,1
206,56,151,4
207,56,152,3
208,56,153,3
209,56,154,2
210,56,156,1
211,56,157,1
212,57,151,3
213,57,153,2
214,57,154,2
215,57,157,4
216,58,151,1
217,58,153,4
218,58,155,1
219,58,157,5
220,59,151,5
221,59,152,5
222,59,153,3
223,59,155,5
224,59,156,2
225,59,157,5
226,60,151,3
227,60,152,2
228,60,154,4
229,60,155,3
230,60,157,2
231,61,151,3
232,61,152,3
233,61,153,5
234,61,154,2
235,61,157,3
236,62,152,1
237,62,153,2
238,62,156,5
239,63,151,3
240,63,152,3
241,63,153,2
242,63,154,5
243,63,155,4
244,63,156,4
245,63,157,5
246,64,152,4
247,64,156,4
248,65,152,2
249,65,153,3
250,65,154,3
251,66,156,4
252,66,157,4
253,67,151,2
254,67,153,3
255,67,154,2
256,67,155,1
257,67,156,2
258,68,152,5
259,68,153,1
260,68,154,3
261,68,157,4
