"AnnotatorID","SampleID","Age"
"23818111","080A06.JPG","1"
"24324854","080A06.JPG","2"
"22502301","080A06.JPG","6"
"21546177","080A06.JPG","3"
"24169744","047A33.JPG","5"
"21546177","047A33.JPG","6"
"18269384","047A33.JPG","5"
"21701356","047A33.JPG","3"
"22239830","047A33.JPG","4"
"21546177","042A10.JPG","3"
"22511424","042A10.JPG","2"
"11078421","042A10.JPG","2"
"22606355","042A10.JPG","1"
"21425968","042A10.JPG","2"
"16566544","071A10.JPG","3"
"23818261","071A10.JPG","3"
"21929927","071A10.JPG","2"
"22770072","071A10.JPG","6"
"11089492","071A10.JPG","4"
"22146065","042A06.JPG","3"
"24027984","042A06.JPG","7"
"24260142","042A06.JPG","1"
"24075908","042A06.JPG","1"
"18258185","042A06.JPG","3"
"23794948","038A05.JPG","2"
"23237425","038A05.JPG","1"
"24325447","038A05.JPG","3"
"22413117","038A05.JPG","1"
"17525614","038A05.JPG","4"
"16566544","044A13.JPG","4"
"20458046","044A13.JPG","3"
"21839425","044A13.JPG","2"
"23571012","044A13.JPG","3"
"15079686","044A13.JPG","3"
"19074389","071A27.JPG","5"
"23760222","071A27.JPG","6"
"13154613","071A27.JPG","6"
"18667895","071A27.JPG","5"
"21982683","071A27.JPG","4"
"16170218","070A12.JPG","3"
"23769532","070A12.JPG","2"
"24177822","070A12.JPG","5"
"3056891","070A12.JPG","1"
"24182981","070A12.JPG","1"
"22502301","049A08.JPG","4"
"22404673","049A08.JPG","5"
"21074912","049A08.JPG","3"
"24136534","049A08.JPG","1"
"22239830","049A08.JPG","2"
"15881986","008A35.JPG","4"
"19074389","008A35.JPG","5"
"23242726","008A35.JPG","5"
"22193456","008A35.JPG","4"
"11003055","008A35.JPG","5"
"21311475","053A02.JPG","2"
"21336856","053A02.JPG","2"
"22676284","053A02.JPG","2"
"3056891","053A02.JPG","1"
"17513083","053A02.JPG","4"
"4711962","031A03.JPG","1"
"21431503","031A03.JPG","1"
"23782899","031A03.JPG","1"
"24257046","031A03.JPG","2"
"23669982","031A03.JPG","1"
"23818111","036A06.JPG","2"
"11001941","036A06.JPG","2"
"23498951","036A06.JPG","2"
"19936989","036A06.JPG","2"
"23372809","036A06.JPG","4"
"22025448","066A11.JPG","1"
"23390465","066A11.JPG","2"
